term,cat,tipo,mascara,evidencia
"6dig","MODIF","ALFA","CHAR(6)","1 ocurrencias"
"abono","ENTIDAD","NUM","INTEGER","2337 ocurrencias"
"abonoinmediato","ENTIDAD","?","?","no_evidence"
"acceso","ENTIDAD","NUM","DECIMAL(15,2)","246 ocurrencias"
"acl","PREFIJO","NUM","INTEGER","1010 ocurrencias"
"aclaracion","ENTIDAD","NUM","INTEGER","433 ocurrencias"
"aclaraciones","ENTIDAD","NUM","MONEY(16,2)","148 ocurrencias"
"act","ACCION","—","—","accion"
"activa","ACCION","—","—","accion"
"activar","ACCION","—","—","accion"
"activos","MODIF","NUM","INTEGER","70 ocurrencias"
"actualiza","ACCION","—","—","accion"
"acuerdo","ENTIDAD","NUM","DECIMAL(16,2)","28 ocurrencias"
"adm","ACCION","—","—","accion"
"admin","ENTIDAD","NUM","INTEGER","258 ocurrencias"
"admtoken","ENTIDAD","ALFA","CHAR(40)","2 ocurrencias"
"adn","ACCION","—","—","accion"
"afore","ENTIDAD","NUM","SMALLINT","25 ocurrencias"
"agendadas","MODIF","?","?","no_evidence"
"alerta","ENTIDAD","ALFA","CHAR(2)","155 ocurrencias"
"alertas","ENTIDAD","?","?","no_evidence"
"alta","ACCION","—","—","accion"
"analista","ENTIDAD","ALFA","CHAR(45)","401 ocurrencias"
"anio","ENTIDAD","ALFA","CHAR(4)","2413 ocurrencias"
"ant","MODIF","NUM","INTEGER","8218 ocurrencias"
"apellido","ENTIDAD","ALFA","CHAR(26)","1573 ocurrencias"
"apertura","ENTIDAD","FECHA","DATE","802 ocurrencias"
"aplica","ACCION","—","—","accion"
"aplicaordenpago","ACCION","—","—","accion"
"apoderado","ENTIDAD","ALFA","CHAR(20)","62 ocurrencias"
"app","MODIF","ALFA","CHAR(26)","563 ocurrencias"
"arch","ENTIDAD","ALFA","CHAR(100)","5650 ocurrencias"
"archivo","ENTIDAD","ALFA","CHAR(100)","4404 ocurrencias"
"archivos","ENTIDAD","NUM","INTEGER","54 ocurrencias"
"archsdos","ENTIDAD","?","?","no_evidence"
"arr","ENTIDAD","NUM","SMALLINT","448 ocurrencias"
"art61","REG","—","—","regulacion"
"asiento","ENTIDAD","?","?","no_evidence"
"asigna","ACCION","—","—","accion"
"atm","ENTIDAD","NUM","INTEGER","919 ocurrencias"
"atms","ENTIDAD","ALFA","CHAR(40)","44 ocurrencias"
"aud","ENTIDAD","NUM","MONEY(16,2)","138 ocurrencias"
"auditoria","ENTIDAD","?","?","no_evidence"
"aumento","MODIF","NUM","INTEGER","22 ocurrencias"
"aumlincred","ACCION","—","—","accion"
"aut","ACCION","—","—","accion"
"autenticacion","ENTIDAD","NUM","SMALLINT","3 ocurrencias"
"auto","MODIF","ALFA","CHAR(8)","1366 ocurrencias"
"autoriza","ACCION","—","—","accion"
"auxiliar","ENTIDAD","ALFA","CHAR(12)","536 ocurrencias"
"aval","ENTIDAD","FECHA","DATE","204 ocurrencias"
"avatar","ENTIDAD","ALFA","CHAR(50)","27 ocurrencias"
"b3","MODIF","ALFA","CHAR(3)","127 ocurrencias"
"baja","MODIF","NUM","INTEGER","242 ocurrencias"
"balanza","ENTIDAD","NUM","DECIMAL(18,2)","7 ocurrencias"
"banco","ENTIDAD","ALFA","CHAR(3)","2584 ocurrencias"
"bandera","MODIF","ALFA","CHAR(1)","1311 ocurrencias"
"batch","MODIF","NUM","INTEGER","13 ocurrencias"
"bccc","ENTIDAD","?","?","no_evidence"
"bei","ENTIDAD","ALFA","CHAR(20)","14 ocurrencias"
