MANDT,DARLEHEN,PARTNER,PRINCIPAL,WAERS,RATE,START_DATE,TERM_MONTHS
100,000080000001,0001000003,124078562,MXN,11.9,20240504,24
100,000080000002,0001000007,21830784,USD,13.12,20221013,60
100,000080000003,0001000010,110501038,USD,11.57,20201224,24
100,000080000004,0001000012,40758602,MXN,14.14,20200504,48
100,000080000005,0001000013,320372917,USD,9.01,20200502,36
100,000080000006,0001000015,425194324,MXN,20.7,20240522,60
100,000080000007,0001000016,367082635,MXN,14.29,20241008,60
100,000080000008,0001000018,96012616,MXN,10.5,20220303,48
100,000080000009,0001000021,198763277,MXN,22.46,20221123,60
100,000080000010,0001000022,37717822,USD,11.44,20210621,24
100,000080000011,0001000023,137860952,MXN,21.58,20240711,36
100,000080000012,0001000025,471072377,MXN,9.17,20200829,12
100,000080000013,0001000029,171534405,MXN,19.31,20210928,24
100,000080000014,0001000030,161814483,MXN,20.06,20221215,36
100,000080000015,0001000033,484359864,USD,11.48,20230415,12
100,000080000016,0001000037,141057813,MXN,16.06,20200411,48
100,000080000017,0001000039,216731028,MXN,12.25,20240221,24
100,000080000018,0001000040,297941885,MXN,21.47,20200614,12
100,000080000019,0001000042,174112898,MXN,22.31,20230909,36
100,000080000020,0001000044,399298341,MXN,11.53,20230610,36
100,000080000021,0001000047,152913430,MXN,23.43,20200926,48
100,000080000022,0001000048,63135988,MXN,10.32,20210911,48
100,000080000023,0001000049,91410179,MXN,12.01,20210922,12
100,000080000024,0001000050,60153545,USD,15.91,20220226,36
100,000080000025,0001000054,183274094,MXN,12.68,20220214,36
100,000080000026,0001000059,440663212,MXN,17.76,20220922,60
100,000080000027,0001000060,214439655,MXN,18.94,20240820,60
100,000080000028,0001000061,299243365,MXN,14.96,20230419,48
100,000080000029,0001000063,16209841,MXN,23.7,20201209,12
100,000080000030,0001000064,11883543,MXN,10.44,20230621,48
100,000080000031,0001000065,442216810,MXN,11.2,20210519,36
100,000080000032,0001000066,378971709,MXN,20.52,20210831,12
100,000080000033,0001000070,426202502,MXN,16.13,20230607,12
100,000080000034,0001000074,25824666,MXN,9.41,20240531,12
100,000080000035,0001000075,121635052,MXN,9.12,20240220,48
100,000080000036,0001000076,224300743,USD,9.7,20220119,36
100,000080000037,0001000078,418374221,MXN,10.03,20210307,36
100,000080000038,0001000080,147260272,MXN,13.41,20240909,36
100,000080000039,0001000081,258454787,MXN,12.81,20210905,24
100,000080000040,0001000082,261263698,USD,8.88,20220912,60
100,000080000041,0001000083,466114039,MXN,15.38,20210817,60
100,000080000042,0001000084,114202597,MXN,16.91,20230705,24
100,000080000043,0001000085,316200427,MXN,21.89,20210124,48
100,000080000044,0001000086,56660835,USD,21.51,20200611,12
100,000080000045,0001000089,35545514,MXN,20.04,20210727,60
100,000080000046,0001000091,221108469,MXN,22.37,20240527,60
100,000080000047,0001000094,180697593,USD,16.7,20221101,60
100,000080000048,0001000095,287538262,MXN,10.78,20220128,12
100,000080000049,0001000096,43893527,USD,12.93,20220507,12
100,000080000050,0097000050,221757806,MXN,18.49,20200328,24
100,000080000051,0001000099,8484214,USD,17.22,20220307,48
100,000080000052,0001000100,281372805,MXN,9.63,20220418,36
100,000080000053,0001000104,57996043,MXN,14.46,20200624,12
100,000080000054,0001000106,250012945,USD,12.8,20221213,12
100,000080000055,0001000107,286372633,MXN,22.77,20220225,12
100,000080000056,0001000108,288569702,MXN,20.63,20240608,24
100,000080000057,0001000110,107116903,MXN,11.46,20241018,36
100,000080000058,0001000113,256073188,MXN,11.94,20200411,48
100,000080000059,0001000114,136646281,MXN,23.57,20230412,48
100,000080000060,0001000115,156902923,MXN,23.67,20211009,24
100,000080000061,0001000116,259835645,MXN,9.51,20240729,48
100,000080000062,0001000117,282959255,MXN,9.21,20231112,36
100,000080000063,0001000118,290653302,MXN,13.79,20210410,60
100,000080000064,0001000119,258427508,MXN,19.1,20210304,60
100,000080000065,0001000121,188346818,MXN,9.87,20210209,36
100,000080000066,0001000123,462399101,USD,14.33,20240104,36
100,000080000067,0001000125,485386060,MXN,22.38,20201002,36
100,000080000068,0001000126,403164301,MXN,22.25,20240922,48
100,000080000069,0001000127,438823298,USD,13.29,20220825,48
100,000080000070,0001000128,468921373,USD,20.09,20220501,12
100,000080000071,0001000131,151603726,MXN,12.44,20200916,12
100,000080000072,0001000138,56247469,USD,18.66,20220102,48
100,000080000073,0001000141,289617764,MXN,12.55,20240408,36
