MANDT,MATNR,MTART,MATKL,MEINS,LVORM,ERSDA
100,000000000000010001,ROH,ABARROTE,CS,,20230806
100,000000000000010002,ROH,PAPELERIA,EA,,20240613
100,000000000000010003,HAWA,ELECTRO,PAL,,20250215
100,000000000000010004,HAWA,ELECTRO,EA,,20230406
100,000000000000010005,HALB,LIMPIEZA,PAL,,20240113
100,000000000000010006,HAWA,PAPELERIA,L,,20231227
100,000000000000010007,HALB,BEBIDAS,KG,,20231120
100,000000000000010008,HALB,ABARROTE,KG,X,20250126
100,000000000000010009,ROH,BEBIDAS,KG,,20231031
100,000000000000010010,FERT,PAPELERIA,KG,,20231008
100,000000000000010011,HALB,ELECTRO,EA,,20250612
100,000000000000010012,HAWA,ELECTRO,L,,20230708
100,000000000000010013,HAWA,BEBIDAS,EA,,20240215
100,000000000000010014,FERT,ABARROTE,KG,,20250410
100,000000000000010015,HALB,BEBIDAS,PAL,,20250221
100,000000000000010016,HALB,PAPELERIA,CS,,20240406
100,000000000000010017,HAWA,LIMPIEZA,PAL,,20240927
100,000000000000010018,FERT,ABARROTE,KG,,20230928
100,000000000000010019,FERT,ABARROTE,EA,,20240223
100,000000000000010020,FERT,ABARROTE,L,,20241224
100,000000000000010021,HALB,LIMPIEZA,PAL,,20241108
100,000000000000010022,HALB,ABARROTE,L,,20250426
100,000000000000010023,ROH,PAPELERIA,PAL,X,20231023
100,000000000000010024,ROH,ELECTRO,L,,20240527
100,000000000000010025,FERT,ELECTRO,L,,20240910
100,000000000000010026,FERT,LIMPIEZA,PAL,,20230211
100,000000000000010027,HAWA,LIMPIEZA,KG,,20240822
100,000000000000010028,HAWA,LIMPIEZA,CS,,20231208
100,000000000000010029,ROH,ELECTRO,CS,,20231023
100,000000000000010030,FERT,LIMPIEZA,L,,20231128
100,000000000000010031,FERT,PAPELERIA,CS,,20240228
100,000000000000010032,HAWA,ELECTRO,EA,,20230728
100,000000000000010033,ROH,ELECTRO,CS,,20230505
100,000000000000010034,HALB,LIMPIEZA,PAL,,20230115
100,000000000000010035,FERT,ELECTRO,EA,,20241025
100,000000000000010036,ROH,PAPELERIA,L,,20240301
