MANDT,VBELN,ERDAT,KUNNR,NETWR,WAERK,VKORG,AUART,VBTYP
100,4500000001,20231020,0000010049,12683369,EUR,1000,TA,C
100,4500000002,20230218,0000010200,10517309,MXN,1000,TA,C
100,4500000003,20231007,0000010085,6708854,EUR,1000,TA,C
100,4500000004,20240323,0000010095,3161894,MXN,1000,TA,C
100,4500000005,20240326,0000010191,5350495,MXN,1000,TA,C
100,4500000006,20230711,0000010087,1715735,MXN,1000,TA,C
100,4500000007,20240524,0000010178,5263744,USD,1000,TA,C
100,4500000008,20231001,0000010133,12020358,MXN,1000,TA,C
100,4500000009,20240310,0000010187,15561921,MXN,1000,TA,C
100,4500000010,20240908,0000010111,7746956,MXN,1000,TA,C
100,4500000011,20231028,0000010140,10473205,MXN,1000,TA,C
100,4500000012,20230323,0000010027,16778525,MXN,1000,TA,C
100,4500000013,20231030,0000010170,1552195,MXN,1000,TA,C
100,4500000014,20240909,0000010115,21194932,MXN,1000,TA,C
100,4500000015,20230620,0000010110,13595356,JPY,1000,TA,C
100,4500000016,20231226,0000010114,2108737,EUR,1000,TA,C
100,4500000017,20250114,0000010011,8980999,MXN,1000,TA,C
100,4500000018,20240321,0000010158,895646,MXN,1000,TA,C
100,4500000019,20250321,0000010164,4704668,MXN,1000,TA,C
100,4500000020,20241118,0000010020,4906337,MXN,1000,TA,C
100,4500000021,20240108,0000010104,18401656,USD,1000,TA,C
100,4500000022,20241126,0000010192,13594970,USD,1000,TA,C
100,4500000023,20230527,0000010008,10197055,MXN,1000,TA,C
100,4500000024,20250311,0000010174,13938556,USD,1000,TA,C
100,4500000025,20230510,0000010009,14287343,MXN,1000,TA,C
100,4500000026,20250308,0000010061,12204807,MXN,1000,TA,C
100,4500000027,20240106,0000010094,4215435,EUR,1000,TA,C
100,4500000028,20230203,0000010146,1046998,MXN,1000,TA,C
100,4500000029,20241126,0000010040,5029008,USD,1000,TA,C
100,4500000030,20240116,0000010095,5655776,MXN,1000,TA,C
100,4500000031,20230320,0000010196,12164683,MXN,1000,TA,C
100,4500000032,20240626,0000010036,6238220,USD,1000,TA,C
100,4500000033,20231118,0000010102,7889944,MXN,1000,TA,C
100,4500000034,20230913,0000010072,26052006,EUR,1000,TA,C
100,4500000035,20250123,0000010007,12367224,MXN,1000,TA,C
100,4500000036,20240614,0000010128,14981577,MXN,1000,TA,C
100,4500000037,20230501,0000010144,22609376,MXN,1000,TA,C
100,4500000038,00000000,,17943168,MXN,1000,TA,C
100,4500000039,20241221,0000010067,1003509,CLP,1000,TA,C
100,4500000040,20240918,0000010055,986811,MXN,1000,TA,C
100,4500000041,20240517,0000010178,1779480,MXN,1000,TA,C
100,4500000042,20230519,0000010032,14826748,MXN,1000,TA,C
100,4500000043,20240407,0009990042,17820155,MXN,1000,TA,C
100,4500000044,20240331,0000010183,7273251,MXN,1000,TA,C
100,4500000045,20250409,0009990044,5631846,MXN,1000,TA,C
100,4500000046,20241114,0000010082,2992580,EUR,1000,TA,C
100,4500000047,20230308,0000010182,21247796,MXN,1000,TA,C
100,4500000048,20231025,0000010139,9204062,USD,1000,TA,C
100,4500000049,20241229,0000010041,12186862,MXN,1000,TA,C
100,4500000050,20241015,0000010180,19065134,JPY,1000,TA,C
100,4500000051,20240604,0000010093,12102956,MXN,1000,TA,C
100,4500000052,20230725,0000010032,7898046,MXN,1000,TA,C
100,4500000053,20250320,0000010061,7484483,MXN,1000,TA,C
100,4500000054,20240105,0000010007,12746608,USD,1000,TA,C
100,4500000055,20240113,0000010147,6362694,USD,1000,TA,C
100,4500000056,20230513,0000010142,8738346,MXN,1000,TA,C
100,4500000057,20230309,0000010023,16789855,USD,1000,TA,C
100,4500000058,20250104,0000010102,10535612,MXN,1000,TA,C
100,4500000059,20240622,0000010123,9914305,JPY,1000,TA,C
100,4500000060,20240224,0000010197,11154470,MXN,1000,TA,C
100,4500000061,20230509,0000010019,9562957,USD,1000,TA,C
100,4500000062,20230317,0000010165,17356275,MXN,1000,TA,C
100,4500000063,20241127,0000010120,2047277,MXN,1000,TA,C
100,4500000064,20230512,0000010089,9142977,USD,1000,TA,C
100,4500000065,20241017,0000010142,6615777,CLP,1000,TA,C
100,4500000066,20250225,0000010047,9401469,USD,1000,TA,C
100,4500000067,20240529,0000010111,606309,MXN,1000,TA,C
100,4500000068,20240614,0000010032,18723320,MXN,1000,TA,C
100,4500000069,20230618,0000010078,4653733,MXN,1000,TA,C
100,4500000070,20241227,0000010083,6248161,MXN,1000,TA,C
100,4500000071,20240615,0000010089,2456794,MXN,1000,TA,C
100,4500000072,20230914,0000010021,7561028,MXN,1000,TA,C
100,4500000073,20240718,0000010163,27631698,MXN,1000,TA,C
100,4500000074,20241002,0000010033,10799712,MXN,1000,TA,C
100,4500000075,20240630,0000010158,14299583,MXN,1000,TA,C
100,4500000076,20241018,0000010129,3766503,MXN,1000,TA,C
100,4500000077,20240817,0000010152,14197456,MXN,1000,TA,C
100,4500000078,20241105,0000010044,11108635,MXN,1000,TA,C
100,4500000079,20240911,0000010185,197623,USD,1000,TA,C
100,4500000080,20230212,0000010145,18278530,MXN,1000,TA,C
100,4500000081,20230216,0000010021,8929940,MXN,1000,TA,C
100,4500000082,20240813,0000010198,12649765,EUR,1000,TA,C
100,4500000083,20230804,0000010167,2334900,MXN,1000,TA,C
100,4500000084,20240302,0000010147,22269384,CLP,1000,TA,C
100,4500000085,20230201,0000010164,10021542,USD,1000,TA,C
100,4500000086,20240712,0000010161,11751776,USD,1000,TA,C
100,4500000087,20231106,0000010165,462760,MXN,1000,TA,C
100,4500000088,20250404,0000010063,2419820,USD,1000,TA,C
100,4500000089,20231101,0000010104,18431446,EUR,1000,TA,C
100,4500000090,20241206,0000010019,4766320,MXN,1000,TA,C
100,4500000091,20240326,0000010041,9646059,MXN,1000,TA,C
100,4500000092,20240420,0000010124,24302359,MXN,1000,TA,C
100,4500000093,20240913,0000010088,544684,MXN,1000,TA,C
100,4500000094,20250601,0000010081,2847176,MXN,1000,TA,C
100,4500000095,20250121,0000010082,12515774,JPY,1000,TA,C
100,4500000096,20230514,0000010103,7630328,MXN,1000,TA,C
100,4500000097,20240611,0000010095,4364030,CLP,1000,TA,C
100,4500000098,20231123,0000010028,13479604,USD,1000,TA,C
100,4500000099,20230506,0000010120,12109674,MXN,1000,TA,C
100,4500000100,20230911,0000010116,3671823,MXN,1000,TA,C
100,4500000101,20230221,0000010025,12654300,MXN,1000,TA,C
100,4500000102,20250603,0000010099,3867264,MXN,1000,TA,C
100,4500000103,20230912,0000010108,5900700,USD,1000,TA,C
100,4500000104,20240814,0000010084,10393144,MXN,1000,TA,C
100,4500000105,20230714,0000010081,7779122,JPY,1000,TA,C
100,4500000106,20240525,0000010041,15848774,CLP,1000,TA,C
100,4500000107,20240525,0000010120,227932,USD,1000,TA,C
100,4500000108,20230124,0000010128,7938792,MXN,1000,TA,C
100,4500000109,20240601,0000010101,11441627,MXN,1000,TA,C
100,4500000110,20230809,0000010062,18639383,MXN,1000,TA,C
100,4500000111,20230219,0000010091,6141471,USD,1000,TA,C
100,4500000112,20240521,0000010073,14711944,MXN,1000,TA,C
100,4500000113,20241119,0000010168,10963484,USD,1000,TA,C
100,4500000114,20240703,0000010074,13235460,USD,1000,TA,C
100,4500000115,20240317,0000010028,5984121,MXN,1000,TA,C
100,4500000116,20250114,0000010068,23164583,MXN,1000,TA,C
100,4500000117,20240217,0000010196,13422563,MXN,1000,TA,C
100,4500000118,20240215,0000010012,7284381,MXN,1000,TA,C
100,4500000119,20240729,0000010146,2831529,MXN,1000,TA,C
100,4500000120,20240720,0000010093,5004387,MXN,1000,TA,C
100,4500000121,20240131,0000010019,19921711,MXN,1000,TA,C
100,4500000122,20250221,0000010116,11013179,USD,1000,TA,C
100,4500000123,20250425,0000010072,1417352,USD,1000,TA,C
100,4500000124,20240917,0000010175,599004,USD,1000,TA,C
100,4500000125,20230410,0000010033,8960847,MXN,1000,TA,C
100,4500000126,20250324,0000010096,4526352,MXN,1000,TA,C
100,4500000127,20240110,0000010143,15836762,MXN,1000,TA,C
100,4500000128,20230723,0000010037,5513688,CLP,1000,TA,C
100,4500000129,20240216,0000010131,13865872,USD,1000,TA,C
100,4500000130,20230216,0000010011,6647852,USD,1000,TA,C
100,4500000131,20241231,0000010036,8520919,MXN,1000,TA,C
100,4500000132,20240615,0000010122,15227857,MXN,1000,TA,C
100,4500000133,20240912,0000010039,3310146,MXN,1000,TA,C
