MANDT,VBELN,POSNR,MATNR,KWMENG,NETWR,WAERK,MEINS
100,4500000001,000010,000000000000010019,16,7477040,EUR,EA
100,4500000001,000020,000000000000010050,17,1084906,EUR,EA
100,4500000001,000030,000000000000010098,17,2676208,EUR,EA
100,4500000001,000040,000000000000010106,2,915150,EUR,EA
100,4500000001,000050,000000000000010039,5,530065,EUR,EA
100,4500000002,000010,000000000000010105,19,8913033,MXN,EA
100,4500000002,000020,000000000000010118,5,834380,MXN,EA
100,4500000002,000030,000000000000010047,3,769896,MXN,EA
100,4500000003,000010,000000000000010046,11,3670260,EUR,EA
100,4500000003,000020,000000000000010015,1,238006,EUR,EA
100,4500000003,000030,000000000000010071,7,2800588,EUR,EA
100,4500000004,000010,000000000000010148,6,1546074,MXN,EA
100,4500000004,000020,000000000000010023,5,1615820,MXN,EA
100,4500000005,000010,000000000000010110,13,2937116,MXN,EA
100,4500000005,000020,000000000000010123,13,44811,MXN,EA
100,4500000005,000030,000000000000010010,18,1899900,MXN,EA
100,4500000005,000040,000000000000010096,1,468668,MXN,EA
100,4500000006,000010,000000000000010136,7,72751,MXN,EA
100,4500000006,000020,000000000000010002,8,957024,MXN,EA
100,4500000006,000030,000000000000010089,10,685960,MXN,EA
100,4500000007,000010,000000000000010099,17,5263744,USD,EA
100,4500000008,000010,000000000000010043,3,1298793,MXN,EA
100,4500000008,000020,000000000000010012,10,4982670,MXN,EA
100,4500000008,000030,000000000000010075,15,5738895,MXN,EA
100,4500000009,000010,000000000000010135,11,2512015,MXN,EA
100,4500000009,000020,000000000000010035,11,5209424,MXN,EA
100,4500000009,000030,000000000000010126,12,4731312,MXN,EA
100,4500000009,000040,000000000000010049,6,2988414,MXN,EA
100,4500000009,000050,000000000000010104,1,120756,MXN,EA
100,4500000010,000010,000000000000010034,7,2701069,MXN,EA
100,4500000010,000020,000000000000010006,19,5045887,MXN,EA
100,4500000011,000010,000000000000010032,12,4485912,MXN,EA
100,4500000011,000020,000000000000010010,13,5987293,MXN,EA
100,4500000012,000010,000000000000010066,18,5898636,MXN,EA
100,4500000012,000020,000000000000010013,20,522900,MXN,EA
100,4500000012,000030,000000000000010028,1,26289,MXN,EA
100,4500000012,000040,000000000000010030,14,3275272,MXN,EA
100,4500000012,000050,000000000000010098,4,1151732,MXN,EA
100,4500000012,000060,000000000000010065,16,5903696,MXN,EA
100,4500000013,000010,000000000000010053,1,158871,MXN,EA
100,4500000013,000020,000000000000010108,4,1393324,MXN,EA
100,4500000014,000010,000000000000010070,20,6370520,MXN,EA
100,4500000014,000020,000000000000010036,14,6111014,MXN,EA
100,4500000014,000030,000000000000010027,17,6423280,MXN,EA
100,4500000014,000040,000000000000010031,10,607750,MXN,EA
100,4500000014,000050,000000000000010028,16,1682368,MXN,EA
100,4500000015,000010,000000000000010052,9,3932496,JPY,EA
100,4500000015,000020,000000000000010134,7,1320578,JPY,EA
100,4500000015,000030,000000000000010105,10,850810,JPY,EA
100,4500000015,000040,000000000000010011,18,4702176,JPY,EA
100,4500000015,000050,000000000000010054,16,2789296,JPY,EA
100,4500000016,000010,000000000000010001,1,353129,EUR,EA
100,4500000016,000020,000000000000010023,4,1755608,EUR,EA
100,4500000017,000010,000000000000010127,5,2493915,MXN,EA
100,4500000017,000020,000000000000010024,17,685882,MXN,EA
100,4500000017,000030,000000000000010026,9,3049362,MXN,EA
100,4500000017,000040,000000000000010060,15,2343000,MXN,EA
100,4500000017,000050,000000000000010068,15,408840,MXN,EA
100,4500000018,000010,000000000000010045,2,895646,MXN,EA
100,4500000019,000010,000000000000010093,11,2467784,MXN,EA
100,4500000019,000020,000000000000010030,4,1789192,MXN,EA
100,4500000019,000030,000000000000010012,1,447692,MXN,EA
100,4500000020,000010,000000000000010044,11,2072917,MXN,EA
100,4500000020,000020,000000000000010113,20,2833420,MXN,EA
100,4500000021,000010,000000000000010024,12,5139300,USD,EA
100,4500000021,000020,000000000000010088,6,364080,USD,EA
100,4500000021,000030,000000000000010103,13,3124641,USD,EA
100,4500000021,000040,000000000000010070,13,4715191,USD,EA
100,4500000021,000050,000000000000010123,14,4776548,USD,EA
100,4500000021,000060,000000000000010043,4,281896,USD,EA
100,4500000022,000010,000000000000010016,6,332250,USD,EA
100,4500000022,000020,000000000000010107,19,4827140,USD,EA
100,4500000022,000030,000000000000010146,15,1440480,USD,EA
100,4500000022,000040,000000000000010098,12,3858324,USD,EA
100,4500000022,000050,000000000000010008,5,1271360,USD,EA
100,4500000022,000060,000000000000010125,4,1865416,USD,EA
100,4500000023,000010,000000000000010113,2,68412,MXN,EA
100,4500000023,000020,000000000000010067,11,82280,MXN,EA
100,4500000023,000030,000000000000010135,19,7228835,MXN,EA
100,4500000023,000040,000000000000010145,8,2817528,MXN,EA
100,4500000024,000010,000000000000010133,17,6151212,USD,EA
100,4500000024,000020,000000000000010025,14,4870992,USD,EA
100,4500000024,000030,000000000000010064,16,2916352,USD,EA
100,4500000025,000010,000000000000010099,5,2204470,MXN,EA
100,4500000025,000020,000000000000010143,20,592160,MXN,EA
100,4500000025,000030,000000000000010003,6,1596378,MXN,EA
100,4500000025,000040,000000000000010121,16,7309184,MXN,EA
100,4500000025,000050,000000000000010043,3,1184895,MXN,EA
100,4500000025,000060,000000000000010126,11,1400256,MXN,EA
100,4500000026,000010,000000000000010072,2,533552,MXN,EA
100,4500000026,000020,000000000000010058,18,6089094,MXN,EA
100,4500000026,000030,000000000000010097,13,5582161,MXN,EA
100,4500000027,000010,000000000000010021,15,3508230,EUR,EA
100,4500000027,000020,000000000000010147,15,707205,EUR,EA
100,4500000028,000010,000000000000010115,11,695596,MXN,EA
