id,account_id,stage,amount,currency,close_date
OP-000001,CRM-000001,Won,4842641,MXN,2024-11-10
OP-000002,CRM-000002,Prospecting,151522,USD,2025-11-14
OP-000003,CRM-000004,Prospecting,2409363,CLP,2024-06-12
OP-000004,CRM-000007,Won,2765652,MXN,2025-11-11
OP-000005,CRM-000007,Won,3274406,MXN,2024-11-12
OP-000006,CRM-000008,Lost,1994365,MXN,2025-11-17
OP-000007,CRM-000008,Proposal,2100848,USD,2024-11-02
OP-000008,CRM-000009,Lost,446974,MXN,2025-10-15
OP-000009,CRM-000009,Proposal,4289177,MXN,2025-09-29
OP-000010,CRM-000010,Won,3090883,MXN,2024-07-22
OP-000011,CRM-000011,Won,2453044,MXN,2024-01-30
OP-000012,CRM-000011,Prospecting,4243527,USD,2024-07-15
OP-000013,CRM-000012,Prospecting,211042,MXN,2024-05-10
OP-000014,CRM-000012,Won,2579086,USD,2024-09-17
OP-000015,CRM-000014,Prospecting,3265809,MXN,2025-10-17
OP-000016,CRM-000016,Proposal,4151323,JPY,2025-07-25
OP-000017,CRM-000017,Won,3541536,MXN,2024-05-17
OP-000018,CRM-000017,Won,1786650,MXN,2024-06-30
OP-000019,CRM-000018,Won,1436580,MXN,2024-04-07
OP-000020,CRM-000018,Prospecting,1889290,USD,2025-07-24
OP-000021,CRM-000019,Won,870077,JPY,2025-07-22
OP-000022,CRM-000020,Lost,2592169,MXN,2025-10-13
OP-000023,CRM-000020,Lost,1041873,MXN,2024-01-08
OP-000024,CRM-000021,Lost,3028226,MXN,2025-09-22
OP-000025,CRM-000021,Lost,1502822,USD,2024-12-13
OP-000026,CRM-000022,Lost,4141534,MXN,2024-02-03
OP-000027,CRM-000023,Proposal,3988954,MXN,2025-08-24
OP-000028,CRM-000024,Proposal,3642325,MXN,2025-08-01
OP-000029,CRM-000024,Lost,3675682,USD,2024-05-02
OP-000030,CRM-000025,Prospecting,753855,MXN,2024-10-21
OP-000031,CRM-000025,Won,4426451,USD,2025-02-28
OP-000032,CRM-000027,Prospecting,2425068,MXN,2025-11-17
OP-000033,CRM-000028,Prospecting,1701729,MXN,2024-01-17
OP-000034,CRM-000028,Proposal,1126338,MXN,2025-07-21
OP-000035,CRM-000029,Proposal,1554679,MXN,2025-10-24
OP-000036,CRM-000030,Won,591460,MXN,2024-05-22
OP-000037,CRM-000032,Lost,1828198,MXN,2024-06-12
OP-000038,CRM-000033,Won,761598,USD,2025-02-18
OP-000039,CRM-000034,Prospecting,2430218,MXN,2025-05-18
OP-000040,CRM-000036,Proposal,2306426,MXN,2025-08-16
OP-000041,CRM-000036,Proposal,3236166,MXN,2024-10-06
OP-000042,CRM-000038,Lost,4308326,MXN,2025-10-29
OP-000043,CRM-000038,Prospecting,3941481,MXN,2025-01-23
OP-000044,CRM-000039,Proposal,277611,USD,2024-04-01
OP-000045,CRM-000039,Lost,3033810,MXN,2024-08-22
OP-000046,CRM-000040,Prospecting,3005208,MXN,2025-06-28
OP-000047,CRM-000040,Proposal,1820463,USD,2024-06-06
OP-000048,CRM-000041,Won,4003022,USD,2025-08-30
OP-000049,CRM-000043,Proposal,2426447,USD,2024-04-01
OP-000050,CRM-000043,Proposal,2912698,MXN,2025-01-04
OP-000051,CRM-000044,Won,335402,MXN,2024-09-08
OP-000052,CRM-000045,Proposal,1893804,MXN,2025-11-29
OP-000053,CRM-000045,Lost,4430724,MXN,2025-09-09
OP-000054,CRM-000046,Prospecting,516236,USD,2024-06-11
OP-000055,CRM-000046,Won,2990847,CLP,2025-04-24
OP-000056,CRM-000047,Prospecting,4742702,MXN,2024-03-04
OP-000057,CRM-000047,Prospecting,794659,MXN,2025-09-12
OP-000058,CRM-000049,Lost,3060092,USD,2024-10-29
OP-000059,CRM-000050,Lost,2540558,MXN,2024-01-18
OP-000060,CRM-000051,Lost,1320767,MXN,2024-02-28
OP-000061,CRM-000051,Proposal,3688325,MXN,2024-07-25
OP-000062,CRM-000052,Proposal,1078156,MXN,2025-08-21
OP-000063,CRM-000053,Lost,1740328,MXN,2025-08-26
OP-000064,CRM-000054,Prospecting,4582429,MXN,2025-08-12
OP-000065,CRM-000054,Won,232525,MXN,2024-08-23
OP-000066,CRM-000055,Proposal,4084903,MXN,2025-03-22
OP-000067,CRM-000056,Lost,4719115,MXN,2024-10-18
OP-000068,CRM-000059,Proposal,2545485,MXN,2025-05-24
OP-000069,CRM-000059,Lost,239478,MXN,2024-12-19
OP-000070,CRM-000060,Won,3532631,MXN,2025-10-21
OP-000071,CRM-000064,Proposal,3893698,USD,2025-01-09
OP-000072,CRM-000064,Lost,700679,USD,2024-01-25
OP-000073,CRM-000065,Lost,2894016,USD,2024-06-23
OP-000074,CRM-000065,Won,3114964,MXN,2024-05-05
OP-000075,CRM-000066,Lost,678446,MXN,2025-07-20
OP-000076,CRM-000066,Prospecting,1045303,MXN,2024-03-29
OP-000077,CRM-000068,Prospecting,3777464,MXN,2024-12-26
OP-000078,CRM-000068,Lost,1904141,USD,2024-09-16
OP-000079,CRM-000069,Prospecting,2243250,MXN,2025-03-17
OP-000080,CRM-000069,Won,2093682,MXN,2024-08-08
