MANDT,KUNNR,NAME1,LAND1,ORT01,PSTLZ,KTOKD,LOEKZ,ERDAT
100,0000010001,Comercial Central 1,CL,Santiago,8320000,0001,,20230723
100,0000010002,Mayoreo Peninsular 2,ES,Madrid,28001,0001,,20230814
100,0000010003,Cadena Continental 3,US,Houston,77001,0001,,20250408
100,0000010004,Grupo Peninsular 4,MX,Ciudad de Mexico,01000,0001,,20231215
100,0000010005,Grupo Latina 5,MX,Guadalajara,44100,0001,,20250220
100,0000010006,Distribuidora Azteca 6,MX,Guadalajara,44100,0001,,20240125
100,0000010007,Corporativo del Bajio 7,MX,Ciudad de Mexico,01000,0001,X,20240910
100,0000010008,Comercial Regio 8,MX,Guadalajara,44100,0001,,00000000
100,0000010009,Abarrotes Azteca 9,MX,Ciudad de Mexico,01000,0001,,00000000
100,0000010010,Cadena del Bajio 10,MX,Guadalajara,44100,0001,,20240814
100,0000010011,Distribuidora del Norte 11,MX,Monterrey,64000,0001,,20241108
100,0000010012,Servicios Azteca 12,MX,Monterrey,64000,0001,,20250525
100,0000010013,Distribuidora Peninsular 13,MX,Monterrey,64000,0001,,20231012
100,0000010014,Corporativo Pacifico 14,US,Houston,77001,0001,,20240115
100,0000010015,Industrias Continental 15,MX,Guadalajara,44100,0001,,20241219
100,0000010016,Distribuidora del Golfo 16,ES,Madrid,28001,0001,,20241012
100,0000010017,Mayoreo Latina 17,MX,Monterrey,64000,0001,,20230617
100,0000010018,Abarrotes Continental 18,US,Houston,77001,0001,,20241017
100,0000010019,Mayoreo Latina 19,ES,Madrid,28001,0001,,20241202
100,0000010020,Comercial Latina 20,MX,Guadalajara,44100,0001,,20250421
100,0000010021,Corporativo Peninsular 21,MX,Ciudad de Mexico,01000,0001,,20231002
100,0000010022,Industrias del Golfo 22,MX,Ciudad de Mexico,01000,0001,,20250616
100,0000010023,Corporativo Latina 23,ES,Madrid,28001,0001,X,20241102
100,0000010024,Abarrotes Regio 24,US,Houston,77001,0001,,00000000
100,0000010025,Grupo Latina 25,MX,Guadalajara,44100,0001,,20250201
100,0000010026,Mayoreo Continental 26,CL,Santiago,8320000,0001,,20250203
100,0000010027,Abarrotes del Golfo 27,CL,Santiago,8320000,0001,X,20240213
100,0000010028,Industrias Pacifico 28,MX,Guadalajara,44100,0001,,20240605
100,0000010029,Distribuidora del Norte 29,US,Houston,77001,0001,X,20250531
100,0000010030,Grupo Pacifico 30,MX,Ciudad de Mexico,01000,0001,,20250322
100,0000010031,Abarrotes del Golfo 31,ES,Madrid,28001,0001,,20230307
100,0000010032,Abarrotes del Golfo 32,US,Houston,77001,0001,,20240424
100,0000010033,Servicios Central 33,CL,Santiago,8320000,0001,,20250531
100,0000010034,Distribuidora Central 34,MX,Ciudad de Mexico,01000,0001,,20250207
100,0000010035,Corporativo Azteca 35,MX,Guadalajara,44100,0001,,20231028
100,0000010036,Grupo Regio 36,US,Houston,77001,0001,X,20230104
100,0000010037,Servicios Central 37,ES,Madrid,28001,0001,,20250219
100,0000010038,Mayoreo Azteca 38,MX,Monterrey,64000,0001,,20250610
100,0000010039,Servicios Central 39,ES,Madrid,28001,0001,,20240915
100,0000010040,Grupo del Bajio 40,MX,Monterrey,64000,0001,,20250219
100,0000010041,Mayoreo Central 41,MX,Monterrey,64000,0001,,20230101
100,0000010042,Corporativo Regio 42,CL,Santiago,8320000,0001,,20230120
100,0000010043,Corporativo Continental 43,MX,Ciudad de Mexico,01000,0001,,20230903
100,0000010044,Industrias del Golfo 44,MX,Ciudad de Mexico,01000,0001,,20230322
100,0000010045,Importadora Azteca 45,MX,Ciudad de Mexico,01000,0001,,20250217
100,0000010046,Grupo Pacifico 46,CL,Santiago,8320000,0001,,20241106
100,0000010047,Mayoreo Pacifico 47,US,Houston,77001,0001,,20230929
100,0000010048,Cadena Peninsular 48,CL,Santiago,8320000,0001,,20230805
100,0000010049,Industrias Continental 49,CL,Santiago,8320000,0001,,20240213
100,0000010050,Corporativo Regio 50,ES,Madrid,28001,0001,,20240613
100,0000010051,Distribuidora Latina 51,US,Houston,77001,0001,,20230819
100,0000010052,Corporativo del Norte 52,MX,Ciudad de Mexico,01000,0001,,20240825
100,0000010053,Industrias del Golfo 53,CL,Santiago,8320000,0001,,20230814
100,0000010054,Distribuidora del Norte 54,MX,Ciudad de Mexico,01000,0001,,20230823
100,0000010055,Comercial del Bajio 55,MX,Ciudad de Mexico,01000,0001,,20230314
100,0000010056,Industrias Continental 56,CL,Santiago,8320000,0001,,00000000
100,0000010057,Industrias Central 57,US,Houston,77001,0001,,20230516
100,0000010058,Cadena del Golfo 58,ES,Madrid,28001,0001,X,20240429
100,0000010059,Importadora Peninsular 59,MX,Monterrey,64000,0001,,20230714
100,0000010060,Distribuidora Peninsular 60,MX,Ciudad de Mexico,01000,0001,,00000000
100,0000010061,Abarrotes Regio 61,US,Houston,77001,0001,,20250603
100,0000010062,Comercial Azteca 62,ES,Madrid,28001,0001,,20230304
100,0000010063,Corporativo Azteca 63,US,Houston,77001,0001,X,20230912
100,0000010064,Industrias Central 64,MX,Monterrey,64000,0001,,20240404
100,0000010065,Abarrotes Pacifico 65,MX,Monterrey,64000,0001,,20231013
100,0000010066,Industrias Azteca 66,US,Houston,77001,0001,,20240329
100,0000010067,Distribuidora del Norte 67,CL,Santiago,8320000,0001,,20241029
100,0000010068,Comercial Azteca 68,CL,Santiago,8320000,0001,,20250210
100,0000010069,Grupo Peninsular 69,MX,Monterrey,64000,0001,,20240512
100,0000010070,Industrias Peninsular 70,US,Houston,77001,0001,,20230302
100,0000010071,Abarrotes del Norte 71,MX,Monterrey,64000,0001,X,20240204
100,0000010072,Importadora Continental 72,MX,Guadalajara,44100,0001,,20240309
100,0000010073,Mayoreo Regio 73,ES,Madrid,28001,0001,,20230608
100,0000010074,Servicios Latina 74,MX,Monterrey,64000,0001,,20230301
100,0000010075,Mayoreo del Norte 75,CL,Santiago,8320000,0001,,20250204
100,0000010076,Comercial del Norte 76,MX,Guadalajara,44100,0001,,20240821
100,0000010077,Mayoreo Central 77,US,Houston,77001,0001,,20230611
100,0000010078,Mayoreo Azteca 78,MX,Ciudad de Mexico,01000,0001,,20250521
100,0000010079,Distribuidora del Golfo 79,MX,Monterrey,64000,0001,,20230311
100,0000010080,Industrias Peninsular 80,ES,Madrid,28001,0001,,20230503
100,0000010081,Industrias del Golfo 81,CL,Santiago,8320000,0001,,20240831
100,0000010082,Cadena Azteca 82,MX,Ciudad de Mexico,01000,0001,,20240305
100,0000010083,Cadena del Golfo 83,ES,Madrid,28001,0001,,20240619
100,0000010084,Servicios Latina 84,MX,Guadalajara,44100,0001,,20241116
100,0000010085,Corporativo Latina 85,ES,Madrid,28001,0001,,20230929
100,0000010086,Grupo Continental 86,US,Houston,77001,0001,,20240413
100,0000010087,Distribuidora del Norte 87,MX,Guadalajara,44100,0001,,20240414
100,0000010088,Cadena Azteca 88,CL,Santiago,8320000,0001,,20230317
100,0000010089,Industrias Central 89,CL,Santiago,8320000,0001,,20230929
100,0000010090,Corporativo Azteca 90,MX,Monterrey,64000,0001,,20250619
100,0000010091,Corporativo Continental 91,MX,Monterrey,64000,0001,,20230611
100,0000010092,Mayoreo Continental 92,US,Houston,77001,0001,,20240918
100,0000010093,Mayoreo del Norte 93,ES,Madrid,28001,0001,,20241114
100,0000010094,Servicios Azteca 94,CL,Santiago,8320000,0001,,20250618
100,0000010095,Servicios Azteca 95,MX,Monterrey,64000,0001,,20230420
100,0000010096,Mayoreo Pacifico 96,ES,Madrid,28001,0001,,20231006
100,0000010097,Cadena Latina 97,MX,Guadalajara,44100,0001,,20250104
100,0000010098,Industrias Continental 98,MX,Guadalajara,44100,0001,,20240601
100,0000010099,Servicios del Norte 99,US,Houston,77001,0001,,20230405
100,0000010100,Abarrotes Continental 100,ES,Madrid,28001,0001,,20230215
100,0000010101,Corporativo Pacifico 101,MX,Ciudad de Mexico,01000,0001,,20241014
100,0000010102,Grupo Regio 102,MX,Guadalajara,44100,0001,,20240718
100,0000010103,Abarrotes Central 103,ES,Madrid,28001,0001,,20230110
100,0000010104,Distribuidora Pacifico 104,MX,Ciudad de Mexico,01000,0001,,20240712
100,0000010105,Corporativo del Golfo 105,MX,Ciudad de Mexico,01000,0001,,20240719
100,0000010106,Abarrotes Pacifico 106,MX,Monterrey,64000,0001,,20230212
100,0000010107,Corporativo del Norte 107,MX,Guadalajara,44100,0001,,20240102
100,0000010108,Industrias Azteca 108,MX,Monterrey,64000,0001,,20231229
100,0000010109,Abarrotes del Golfo 109,CL,Santiago,8320000,0001,X,20250206
100,0000010110,Industrias Pacifico 110,MX,Monterrey,64000,0001,,20250330
100,0000010111,Abarrotes del Norte 111,MX,Monterrey,64000,0001,,20230703
100,0000010112,Corporativo Peninsular 112,ES,Madrid,28001,0001,,20250401
100,0000010113,Industrias Continental 113,ES,Madrid,28001,0001,,20230613
100,0000010114,Distribuidora Peninsular 114,ES,Madrid,28001,0001,,20250612
100,0000010115,Importadora Latina 115,MX,Ciudad de Mexico,01000,0001,,20230724
100,0000010116,Corporativo Continental 116,US,Houston,77001,0001,,20250420
100,0000010117,Industrias del Norte 117,MX,Monterrey,64000,0001,,20241106
100,0000010118,Abarrotes del Bajio 118,MX,Monterrey,64000,0001,,20231013
100,0000010119,Servicios del Bajio 119,MX,Ciudad de Mexico,01000,0001,,20241018
100,0000010120,Abarrotes Central 120,CL,Santiago,8320000,0001,,20231206
100,0000010121,Distribuidora Continental 121,MX,Ciudad de Mexico,01000,0001,,20230702
100,0000010122,Servicios del Norte 122,CL,Santiago,8320000,0001,,20230422
100,0000010123,Abarrotes del Bajio 123,CL,Santiago,8320000,0001,,20250116
100,0000010124,Abarrotes del Golfo 124,MX,Guadalajara,44100,0001,,20240607
