MANDT,MATNR,SPRAS,MAKTX
100,000000000000010001,S,Aceite Premium
100,000000000000010001,E,Aceite Premium (EN)
100,000000000000010002,S,Detergente 1L
100,000000000000010002,E,Detergente 1L (EN)
100,000000000000010003,S,Detergente 2kg
100,000000000000010003,E,Detergente 2kg (EN)
100,000000000000010004,S,Cuaderno Pack 12
100,000000000000010004,E,Cuaderno Pack 12 (EN)
100,000000000000010005,S,Agua Mini
100,000000000000010005,E,Agua Mini (EN)
100,000000000000010006,S,Agua Premium
100,000000000000010006,E,Agua Premium (EN)
100,000000000000010007,S,Jabon Mini
100,000000000000010008,S,Agua Premium
100,000000000000010009,S,Detergente Basico
100,000000000000010009,E,Detergente Basico (EN)
100,000000000000010010,S,Refresco 500ml
100,000000000000010010,E,Refresco 500ml (EN)
100,000000000000010011,S,Refresco XL
100,000000000000010011,E,Refresco XL (EN)
100,000000000000010012,S,Refresco Premium
100,000000000000010013,S,Agua 1L
100,000000000000010013,E,Agua 1L (EN)
100,000000000000010014,S,Foco Premium
100,000000000000010014,E,Foco Premium (EN)
100,000000000000010015,S,Cafe XL
100,000000000000010015,E,Cafe XL (EN)
100,000000000000010016,S,Agua Premium
100,000000000000010017,S,Refresco XL
100,000000000000010018,S,Jabon Familiar
100,000000000000010018,E,Jabon Familiar (EN)
100,000000000000010019,S,Agua XL
100,000000000000010019,E,Agua XL (EN)
100,000000000000010020,S,Cuaderno 2kg
100,000000000000010020,E,Cuaderno 2kg (EN)
100,000000000000010021,S,Detergente Industrial
100,000000000000010021,E,Detergente Industrial (EN)
100,000000000000010022,S,Galleta 1L
100,000000000000010022,E,Galleta 1L (EN)
100,000000000000010023,S,Agua 1L
100,000000000000010023,E,Agua 1L (EN)
100,000000000000010024,S,Cable 2kg
100,000000000000010024,E,Cable 2kg (EN)
100,000000000000010025,S,Cuaderno 500ml
100,000000000000010025,E,Cuaderno 500ml (EN)
100,000000000000010026,S,Galleta 2kg
100,000000000000010026,E,Galleta 2kg (EN)
100,000000000000010027,S,Cafe 2kg
100,000000000000010028,S,Aceite 1L
100,000000000000010029,S,Cafe Mini
100,000000000000010029,E,Cafe Mini (EN)
100,000000000000010030,S,Jabon Industrial
100,000000000000010031,S,Refresco Pack 12
100,000000000000010031,E,Refresco Pack 12 (EN)
100,000000000000010032,S,Cuaderno Mini
100,000000000000010032,E,Cuaderno Mini (EN)
100,000000000000010033,S,Refresco XL
100,000000000000010034,S,Cable Industrial
100,000000000000010034,E,Cable Industrial (EN)
100,000000000000010035,S,Galleta 2kg
100,000000000000010036,S,Agua 2kg
100,000000000000010036,E,Agua 2kg (EN)
100,000000000000010037,S,Cable Familiar
100,000000000000010038,S,Cable Premium
100,000000000000010039,S,Agua Familiar
100,000000000000010039,E,Agua Familiar (EN)
100,000000000000010040,S,Cable Industrial
100,000000000000010040,E,Cable Industrial (EN)
100,000000000000010041,S,Cafe Pack 12
100,000000000000010042,S,Agua Industrial
100,000000000000010042,E,Agua Industrial (EN)
100,000000000000010043,S,Cable XL
100,000000000000010043,E,Cable XL (EN)
100,000000000000010044,S,Agua 500ml
100,000000000000010045,S,Cuaderno Basico
100,000000000000010045,E,Cuaderno Basico (EN)
100,000000000000010046,S,Cable Industrial
100,000000000000010047,S,Jabon Pack 12
100,000000000000010047,E,Jabon Pack 12 (EN)
100,000000000000010048,S,Jabon 1L
100,000000000000010048,E,Jabon 1L (EN)
100,000000000000010049,S,Refresco Premium
100,000000000000010049,E,Refresco Premium (EN)
100,000000000000010050,S,Cafe XL
100,000000000000010050,E,Cafe XL (EN)
100,000000000000010051,S,Foco Industrial
100,000000000000010051,E,Foco Industrial (EN)
100,000000000000010052,S,Detergente 2kg
100,000000000000010052,E,Detergente 2kg (EN)
100,000000000000010053,S,Agua Premium
100,000000000000010053,E,Agua Premium (EN)
100,000000000000010054,S,Foco Premium
100,000000000000010054,E,Foco Premium (EN)
100,000000000000010055,S,Cuaderno Pack 12
100,000000000000010056,S,Foco Basico
100,000000000000010056,E,Foco Basico (EN)
100,000000000000010057,S,Refresco XL
100,000000000000010058,S,Cuaderno Pack 12
100,000000000000010058,E,Cuaderno Pack 12 (EN)
100,000000000000010059,S,Cuaderno Familiar
100,000000000000010059,E,Cuaderno Familiar (EN)
100,000000000000010060,S,Foco Basico
100,000000000000010061,S,Cafe Familiar
100,000000000000010061,E,Cafe Familiar (EN)
100,000000000000010062,S,Galleta Premium
100,000000000000010063,S,Jabon 2kg
100,000000000000010064,S,Cable Basico
100,000000000000010064,E,Cable Basico (EN)
100,000000000000010065,S,Jabon 2kg
100,000000000000010065,E,Jabon 2kg (EN)
100,000000000000010066,S,Aceite 1L
100,000000000000010066,E,Aceite 1L (EN)
100,000000000000010067,S,Aceite XL
100,000000000000010067,E,Aceite XL (EN)
100,000000000000010068,S,Cafe 1L
100,000000000000010068,E,Cafe 1L (EN)
100,000000000000010069,S,Jabon Pack 12
100,000000000000010070,S,Cable Industrial
100,000000000000010070,E,Cable Industrial (EN)
100,000000000000010071,S,Agua XL
100,000000000000010071,E,Agua XL (EN)
100,000000000000010072,S,Agua 2kg
100,000000000000010073,S,Aceite 500ml
100,000000000000010073,E,Aceite 500ml (EN)
100,000000000000010074,S,Detergente XL
100,000000000000010075,S,Foco Pack 12
100,000000000000010075,E,Foco Pack 12 (EN)
100,000000000000010076,S,Detergente Basico
100,000000000000010077,S,Cable Premium
100,000000000000010078,S,Aceite Pack 12
100,000000000000010078,E,Aceite Pack 12 (EN)
100,000000000000010079,S,Galleta Industrial
100,000000000000010079,E,Galleta Industrial (EN)
100,000000000000010080,S,Aceite Mini
100,000000000000010080,E,Aceite Mini (EN)
100,000000000000010081,S,Refresco Mini
100,000000000000010081,E,Refresco Mini (EN)
100,000000000000010082,S,Cafe Industrial
100,000000000000010082,E,Cafe Industrial (EN)
100,000000000000010083,S,Aceite XL
100,000000000000010083,E,Aceite XL (EN)
100,000000000000010084,S,Foco Mini
100,000000000000010085,S,Agua Mini
100,000000000000010085,E,Agua Mini (EN)
100,000000000000010086,S,Detergente Industrial
100,000000000000010086,E,Detergente Industrial (EN)
100,000000000000010087,S,Agua Industrial
100,000000000000010087,E,Agua Industrial (EN)
100,000000000000010088,S,Cuaderno Basico
100,000000000000010089,S,Jabon 1L
100,000000000000010089,E,Jabon 1L (EN)
100,000000000000010090,S,Foco Mini
100,000000000000010090,E,Foco Mini (EN)
100,000000000000010091,S,Cafe 500ml
100,000000000000010092,S,Cable Pack 12
100,000000000000010092,E,Cable Pack 12 (EN)
100,000000000000010093,S,Cable Basico
100,000000000000010093,E,Cable Basico (EN)
100,000000000000010094,S,Cafe Mini
100,000000000000010095,S,Galleta Premium
100,000000000000010096,S,Galleta Familiar
100,000000000000010096,E,Galleta Familiar (EN)
100,000000000000010097,S,Refresco 1L
100,000000000000010098,S,Aceite Familiar
100,000000000000010098,E,Aceite Familiar (EN)
100,000000000000010099,S,Refresco Familiar
100,000000000000010099,E,Refresco Familiar (EN)
100,000000000000010100,S,Cafe 2kg
100,000000000000010100,E,Cafe 2kg (EN)
100,000000000000010101,S,Cable 1L
100,000000000000010101,E,Cable 1L (EN)
100,000000000000010102,S,Cable Premium
100,000000000000010102,E,Cable Premium (EN)
100,000000000000010103,S,Detergente Premium
100,000000000000010104,S,Jabon 500ml
100,000000000000010104,E,Jabon 500ml (EN)
