INVENTARIO AWS — 25 AGENTES NOVA / ~$800K ARR,,,,,,
Región de referencia: us-east-1,,,,,,
,,,,,,
SERVICIO,PARÁMETRO,VALOR,UNIDAD,$/MES EST.,$/AÑO EST.,NOTAS
,,,,,,
=== AMAZON BEDROCK ===,,,,,,
Amazon Bedrock - Nova Pro,Input tokens per month,22515000000,tokens,$43020,$516240,Agentes 1–10
Amazon Bedrock - Nova Pro,Output tokens per month,7815000000,tokens,,,
Amazon Bedrock - Nova Lite,Input tokens per month,108600000000,tokens,$17028,$204336,Agentes 11–20
Amazon Bedrock - Nova Lite,Output tokens per month,43800000000,tokens,,,
Amazon Bedrock - Nova Micro,Input tokens per month,72300000000,tokens,$6374,$76482,Agentes 21–25
Amazon Bedrock - Nova Micro,Output tokens per month,27450000000,tokens,,,
Amazon Bedrock - Titan Embeddings V2,Input tokens per month,114000000,tokens,$2,$24,Knowledge Bases - embeddings incrementales
Amazon Bedrock - Guardrails,Text units processed per month,2760000,text units,$207,$2484,Aplicado a outputs Nova Pro
,,,,,,
=== AMAZON OPENSEARCH SERVERLESS ===,,,,,,
Amazon OpenSearch Serverless,Indexing OCU-hours per month,1440,OCU-hours,$694,$8328,2 OCUs × 24h × 30d
Amazon OpenSearch Serverless,Search and query OCU-hours per month,1440,OCU-hours,,,2 OCUs × 24h × 30d
Amazon OpenSearch Serverless,Managed storage,100,GB,,,Vector store para RAG
,,,,,,
=== AWS LAMBDA ===,,,,,,
AWS Lambda - Config A (Doc Processing),Number of requests per month,1140000,requests,$855,$10260,38K docs/día × 30d
AWS Lambda - Config A (Doc Processing),Duration per request,45000,ms,,,
AWS Lambda - Config A (Doc Processing),Memory allocated,1024,MB,,,
AWS Lambda - Config A (Doc Processing),Architecture,x86_64,,,,
AWS Lambda - Config B (Routing / Micro),Number of requests per month,174000000,requests,$180,$2160,5.8M req/día × 30d
AWS Lambda - Config B (Routing / Micro),Duration per request,200,ms,,,
AWS Lambda - Config B (Routing / Micro),Memory allocated,256,MB,,,
AWS Lambda - Config B (Routing / Micro),Architecture,x86_64,,,,
AWS Lambda - Config C (Orquestación misc),Number of requests per month,5000000,requests,$45,$540,
AWS Lambda - Config C (Orquestación misc),Duration per request,1000,ms,,,
AWS Lambda - Config C (Orquestación misc),Memory allocated,512,MB,,,
AWS Lambda - Config C (Orquestación misc),Architecture,x86_64,,,,
,,,,,,
=== AMAZON ECS — FARGATE ===,,,,,,
Amazon ECS Fargate,Operating system,Linux,,,$12804,5 servicios CS Bot + RAG
Amazon ECS Fargate,CPU architecture,x86_64,,,,
Amazon ECS Fargate,Number of tasks,15,tasks,,,"5 servicios × 3 tasks avg"
Amazon ECS Fargate,vCPU per task,2,vCPU,,,
Amazon ECS Fargate,Memory per task,4,GB,,,
Amazon ECS Fargate,Hours per day,24,horas,,,
Amazon ECS Fargate,Days per month,30,días,,,
Amazon ECS Fargate,Ephemeral storage per task,20,GB,,,
,,,,,,
=== AMAZON S3 ===,,,,,,
Amazon S3,Storage class,S3 Standard,,,,
Amazon S3,Storage amount,14336,GB,$335,$4020,14 TB — documentos 2 años retención
Amazon S3,PUT / COPY / POST / LIST requests per month,1140000,requests,,,
Amazon S3,GET / SELECT / other requests per month,20000000,requests,,,
,,,,,,
=== AMAZON DYNAMODB ===,,,,,,
Amazon DynamoDB,Capacity mode,On-demand,,,$4260,Session state + historial conversaciones
Amazon DynamoDB,Table class,Standard,,,,
Amazon DynamoDB,Write request units per month,240000000,WRU,$355,$4260,
Amazon DynamoDB,Read request units per month,120000000,RRU,,,
Amazon DynamoDB,Data storage,100,GB,,,
,,,,,,
=== AMAZON ELASTICACHE ===,,,,,,
Amazon ElastiCache,Engine,Redis,,,,
Amazon ElastiCache,Node type,cache.r7g.medium,,,$1656,Caching sesiones + queries frecuentes
Amazon ElastiCache,Number of nodes,2,nodos,$138,$1656,Primary + Replica
Amazon ElastiCache,Usage hours per month,720,horas,,,
,,,,,,
=== AMAZON API GATEWAY ===,,,,,,
Amazon API Gateway - REST API,API calls per month,3000000,calls,$10.50,$126,APIs doc processing y agentes
Amazon API Gateway - WebSocket API,Connection minutes per month,120000000,min,$271,$3252,800K conex × 5min × 30d
Amazon API Gateway - WebSocket API,Messages per month,240000000,mensajes,,,800K conex × 10 msgs × 30d
,,,,,,
=== AMAZON CLOUDWATCH ===,,,,,,
Amazon CloudWatch,Log data ingested per month,300,GB,$221,$2652,25 agentes + infraestructura
Amazon CloudWatch,Log data archived,900,GB,,,90 días retención
Amazon CloudWatch,Number of custom metrics,50,métricas,,,
Amazon CloudWatch,Standard alarms,50,alarmas,,,
Amazon CloudWatch,Dashboards,3,dashboards,,,
,,,,,,
=== AWS STEP FUNCTIONS ===,,,,,,
AWS Step Functions,Workflow type,Express,,,,
AWS Step Functions,Number of workflow requests per month,1140000,workflows,$17,$204,Orquestación doc processing
AWS Step Functions,Average duration per execution,45000,ms,,,
AWS Step Functions,Memory,64,MB,,,
,,,,,,
=== AWS WAF ===,,,,,,
AWS WAF,Number of Web ACLs,1,WebACL,,,,
AWS WAF,Number of rules per ACL,5,reglas,$156,$1872,Protección API Gateway
AWS WAF,Number of requests per month,243000000,requests,,,
,,,,,,
=== AMAZON SQS ===,,,,,,
Amazon SQS,Queue type,Standard,,,,
Amazon SQS,Number of requests per month,10000000,requests,$4,$48,Colas doc processing + eventos
,,,,,,
=== NAT GATEWAY ===,,,,,,
NAT Gateway,Number of NAT Gateways,2,gateways,,,2 AZs
NAT Gateway,Data processed per month,500,GB,$87,$1044,
,,,,,,
=== VPC ENDPOINTS — PRIVATELINK ===,,,,,,
VPC Endpoints,Number of Interface Endpoints,6,endpoints,,,Bedrock · S3 · DynamoDB · SQS · ECR · SecretsManager
VPC Endpoints,Endpoint-hours per month,4320,horas,$44,$528,6 × 24h × 30d
VPC Endpoints,Data processed per month,100,GB,,,
,,,,,,
=== AWS KMS ===,,,,,,
AWS KMS,Number of customer managed keys,5,CMKs,$20,$240,
AWS KMS,API requests per month,5000000,requests,,,
,,,,,,
=== AWS SECRETS MANAGER ===,,,,,,
AWS Secrets Manager,Number of secrets,20,secrets,$11,$132,
AWS Secrets Manager,API calls per month,500000,calls,,,
,,,,,,
=== AMAZON COGNITO ===,,,,,,
Amazon Cognito,Monthly active users,5000,MAU,$3,$36,Usuarios internos
,,,,,,
=== AMAZON ECR ===,,,,,,
Amazon ECR,Data storage,10,GB,$5,$60,5 imágenes de contenedor
,,,,,,
=== AWS X-RAY ===,,,,,,
AWS X-Ray,Traces recorded per month,75000,trazas,,,5% sampling
AWS X-Ray,Traces retrieved per month,75000,trazas,$10,$120,
AWS X-Ray,Traces scanned per month,75000,trazas,,,
,,,,,,
,,,,,,
=== RESUMEN DE COSTOS ===,,,,,,
CATEGORÍA,SERVICIO,$/MES,$/AÑO,,,
AI Core,Bedrock Nova Pro + Lite + Micro,$66422,$797064,,
AI Core,Bedrock Guardrails + Titan Embeddings,$209,$2508,,
AI Core,OpenSearch Serverless (Vector Store),$694,$8328,,
Compute,Lambda (3 configuraciones),$1080,$12960,,
Compute,ECS Fargate,$1067,$12804,,
Compute,Step Functions,$17,$204,,
Storage,S3,$335,$4020,,
Storage,DynamoDB,$355,$4260,,
Storage,ElastiCache (Redis),$138,$1656,,
Storage,ECR,$5,$60,,
Messaging,SQS,$4,$48,,
API & Networking,API Gateway (REST + WebSocket),$282,$3378,,
API & Networking,NAT Gateway,$87,$1044,,
API & Networking,VPC Endpoints / PrivateLink,$44,$528,,
API & Networking,WAF,$156,$1872,,
Seguridad,KMS,$20,$240,,
Seguridad,Secrets Manager,$11,$132,,
Seguridad,Cognito,$3,$36,,
